key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
,,,,4.953125,4.6104,space,0.4849,0,26,26,9,1,10,image/10.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,6.40625,6.309,space,3.283,0,27,27,21,1,22,image/22.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,2.40625,2.9021,space,0.6413,0,28,28,24,1,25,image/25.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.0390625,5.5935,space,0.532,0,29,29,32,1,33,image/33.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.640625,4.0265,space,0.6302,0,30,30,36,1,37,image/37.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.40625,3.2253,space,0.562,0,31,31,34,1,35,image/35.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,2.0234375,3.5191,space,1.2406,0,32,32,20,1,21,image/21.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,1.65625,3.1772,space,1.0466,0,33,33,49,1,50,image/50.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.8984375,4.1273,space,0.7968,0,34,34,17,1,18,image/18.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.9609375,3.6437,space,0.6456,0,35,35,50,1,56,image/56.jpg,1,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
