chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.275954861,-0.508949653,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,5.3825,space,14,7.5148,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,0.9864,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.229844835,-0.467621528,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,1,7.7809,space,8,11.5448,,,,,,0,5,5,5,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,0.8736,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.311751302,-0.480017361,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,48.05454721,4.1944,space,46.10142221,7.8312,0,6,6,6,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,,1.5663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.293408203,-0.511510417,1,0,0,LeftButton,"[""LeftButton""]",70,3.551,space,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,0.7391,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,0.316427951,-0.511527778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,49.17249754,4.7116,space,41.4246633,8.592,0,8,8,8,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,0.5536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,0.247591146,-0.528810764,1,0,0,RightButton,"[""RightButton""]",,,,,,,68,3.609,space,18,6.8142,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,1.2724,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.291069878,-0.530442708,1,0,0,RightButton,"[""RightButton""]",10,4.1022,space,,,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,1.9295,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3293023,-0.539722222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,11,11,11,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.326453993,-0.490946181,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,4,7.782,space,8,10.1046,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,0.4683,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.329985894,-0.491796875,1,0,0,LeftButton,"[""LeftButton""]",51,2.3178,space,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,0.2679,,
