chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.314944728,-0.500416101,1,0,0,LeftButton,"[""LeftButton""]",,,,1.420227466,2.5847,space,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,0.8173,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.299266582,-0.509825068,1,0,0,LeftButton,"[""LeftButton""]",50,4.2315,space,,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,0.5016,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266491284,-0.510979959,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,59.25872243,3.7272,space,31.46000825,6.3271,0,8,8,8,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,2.2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.284125213,-0.500169837,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.284204932,-0.491711957,1,0,0,LeftButton,"[""LeftButton""]",,,,2.031834609,2.7193,space,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,0.7037,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,0.282366071,-0.502674932,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,2.5566,space,1.5542,0,6.5865,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,0.302880527,-0.521611753,1,0,0,RightButton,"[""RightButton""]",0,2.1555,space,,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,0.6175,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,0.316586947,-0.513315217,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50.07086168,3.2503,space,39.38739006,5.3617,0,13,13,13,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,0.5165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.346029974,-0.480715014,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,0.326620961,-0.478226902,1,0,0,RightButton,"[""RightButton""]",69,3.1599,space,,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,0.5354,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,0.287654124,-0.478456182,1,0,0,RightButton,"[""RightButton""]",,,,,,,88,1.5586,space,0.4552,12,4.0561,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.263042092,-0.480825408,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,30.28864324,3.9632,space,62.67887205,6.0822,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,0.6178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.262659439,-0.466109035,1,0,0,LeftButton,"[""LeftButton""]",0,2.5078,space,,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,0.4735,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,0.270939626,-0.534332541,1,0,0,RightButton,"[""RightButton""]",,,,,,,77,7.9732,space,2.7859,0,2.8856,,,,,,0,19,19,19,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,
