key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session.order,session_serial,slider_judge_img,face_loop.order
,,,,,,,,0,11,11,15,1,16,image/16.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,11,11,15,1,16,image/16.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,11,11,15,1,16,image/16.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,,,,,,,,,
,,,,,,,,0,12,12,40,1,41,image/41.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,12,12,40,1,41,image/41.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,12,12,40,1,41,image/41.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,,,,,,,,,
,,,,,,,,0,13,13,13,1,14,image/14.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,13,13,13,1,14,image/14.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,13,13,13,1,14,image/14.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,,,,,,,,,
,,,,,,,,0,14,14,39,1,40,image/40.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,14,14,39,1,40,image/40.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,14,14,39,1,40,image/40.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,,,,,,,,,
,,,,,,,,0,15,15,33,1,34,image/34.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,15,15,33,1,34,image/34.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,15,15,33,1,34,image/34.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,,,,,,,,,
