chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,0.276455026,-0.513227513,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,0.232804233,-0.485714286,1,0,0,RightButton,"[""RightButton""]",49,2.491,space,,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,0.897,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,0.332010582,-0.515343915,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,68.17112928,4.639,space,36.10443055,8.726,0,8,8,8,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,1.614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.265873016,-0.540740741,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,0.33994709,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,18,3.905,space,1.639,16,7.238,,,,,,0,10,10,10,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.37037037,-0.534391534,1,0,0,LeftButton,"[""LeftButton""]",,,,4.933862434,3.761,space,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,1.02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.306878307,-0.506878307,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,47.99583133,2.863,space,42.91860403,6.564,0,12,12,12,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,2.034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.272486772,-0.540740741,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,24.74747475,3.459,space,64.83084816,5.355,0,13,13,13,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,0.749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,0.268518519,-0.513227513,1,0,0,RightButton,"[""RightButton""]",,,,,,,59,2.968,space,0.915,30,3.978,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.292328042,-0.515343915,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,44.12110523,4.685,space,78.19197264,7.675,0,15,15,15,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,0.476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,0.317460317,-0.477248677,1,0,0,RightButton,"[""RightButton""]",,,,,,,61,3.757,space,0.783,43,5.813,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,0.305555556,-0.517460317,1,0,0,RightButton,"[""RightButton""]",,,,,,,76,2.882,space,0.328,26,4.517,,,,,,0,17,17,17,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,0.313492063,-0.515343915,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,63.36112447,3.189,space,62.02501203,14.258,0,18,18,18,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,10.298
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.259259259,-0.53015873,1,0,0,LeftButton,"[""LeftButton""]",,,,4.914021164,3.04,space,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,0.761,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.261904762,-0.477248677,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,82.33392122,3.878,space,25.01469724,7.125,0,20,20,20,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,1.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.244708995,-0.502645503,1,0,0,LeftButton,"[""LeftButton""]",58,2.98,space,,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,1.662,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,0.291005291,-0.494179894,1,0,0,RightButton,"[""RightButton""]",,,,,,,71,2.265,space,0.413,41,4.376,,,,,,0,22,22,22,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,0.260582011,-0.48994709,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.316137566,-0.494179894,1,0,0,LeftButton,"[""LeftButton""]",41,3.491,space,,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,0.626,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,0.272486772,-0.46031746,1,0,0,RightButton,"[""RightButton""]",,,,4.986772487,1.602,space,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,1.066,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.261904762,-0.504761905,1,0,0,LeftButton,"[""LeftButton""]",30,2.043,space,,,,,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,0.609,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.329365079,-0.506878307,1,0,0,LeftButton,"[""LeftButton""]",,,,4.993386243,3.474,space,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,0.906,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.343915344,-0.538624339,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,28,28,28,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.343915344,-0.538624339,1,0,0,LeftButton,"[""LeftButton""]",,,,4.649470899,3.715,space,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,1.106,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.220899471,-0.508994709,1,0,0,LeftButton,"[""LeftButton""]",65,2.82,space,,,,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,0.479,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,0.329365079,-0.508994709,1,0,0,RightButton,"[""RightButton""]",,,,,,,59,3.183,space,1.06,57,6.299,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.308201058,-0.481481481,1,0,0,LeftButton,"[""LeftButton""]",,,,4.021164021,1.931,space,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,0.766,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.334656085,-0.525925926,1,0,0,LeftButton,"[""LeftButton""]",28,5.458,space,,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,0.762,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.292328042,-0.536507937,1,0,0,LeftButton,"[""LeftButton""]",25,1.97,space,,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,0.785,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.30026455,-0.523809524,1,0,0,LeftButton,"[""LeftButton""]",,,,4.047619048,3.691,space,,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,1.611,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,0.228835979,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,88.21281599,5.128,space,19.26941371,7.416,0,36,36,36,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,0.28968254,-0.51957672,1,0,0,RightButton,"[""RightButton""]",,,,,,,39,4.602,space,0.985,41,6.921,,,,,,0,37,37,37,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.358465608,-0.470899471,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,79.79530757,2.84,space,20.60552616,5.137,0,38,38,38,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,0.748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,0.334656085,-0.540740741,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,39,39,39,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.281746032,-0.494179894,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,70,4.155,space,0.939,35,6.428,,,,,,0,40,40,40,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.310846561,-0.521693122,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,75.65335899,10.163,space,42.78499278,12.196,0,41,41,41,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,0.573
