chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.26875,-0.51,1,0,0,RightButton,"[""RightButton""]",50,3.558,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,1.002,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.240625,-0.495,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2671875,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,0.757575758,4.719,space,67.99242424,9.568,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,3.136,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.20625,-0.51,1,0,0,LeftButton,"[""LeftButton""]",,,,5,3.189,space,,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,1.317,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.303125,-0.505,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,0,2.915,space,75.25252525,4.682,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,1.368,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2625,-0.4675,1,0,0,LeftButton,"[""LeftButton""]",,,,5,4.525,space,,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,2.037,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2078125,-0.52,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,64,6.616,space,1.117,10,9.318,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2828125,-0.4975,1,0,0,LeftButton,"[""LeftButton""]",50,4.141,space,,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,0.724,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2453125,-0.5225,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,3.125,7.448,space,77.77777778,9.899,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,0.568,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2390625,-0.4775,1,0,0,RightButton,"[""RightButton""]",,,,,,,90,3.404,space,2.157,8,7.123,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,,,,,,,
