chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273611111,-0.537777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,30,6.064,space,20,3.297,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,1.134,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.286111111,-0.491111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,0.216666667,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,2.534722222,8.618,space,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,1.567,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.319444444,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,57.996633,3.612,space,44.94949495,5.498,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,0.735,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.240277778,-0.482222222,1,0,0,LeftButton,"[""LeftButton""]",,,,2.368055556,3.234,space,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,0.753,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,0.227777778,-0.537777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,31,2.251,space,24,3.247,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,0.382,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272222222,-0.544444444,1,0,0,RightButton,"[""RightButton""]",19,2.54,space,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,,0.558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.277777778,-0.477777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,53.22671156,2.712,space,40.46015713,4.728,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,0.133,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.306944444,-0.528888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,22,1.483,space,20,3.1,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,1.107,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.352777778,-0.517777778,1,0,0,RightButton,"[""RightButton""]",31,2.273,space,,,,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,,1.069
