chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.251311239,-0.507196316,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,10.16681984,6.6875,space,19.65840315,8.9634,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,4.161,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,0.25835495,-0.48060045,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,8.4246,space,0,13.5445,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,0.8308,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.358174642,-0.492442491,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.940615336,15.0105,space,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,1.3164,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266705577,-0.484817437,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,10,4.7939,space,14,6.213,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,1.7041,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.232101525,-0.534484592,1,0,0,LeftButton,"[""LeftButton""]",51,6.3096,space,1.023,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.233956061,-0.530895996,1,0,0,LeftButton,"[""LeftButton""]",1,4.7448,space,2.0822,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,0.263201904,-0.475707601,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,11.21561327,3.6721,space,30.35787974,5.4029,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,2.2309,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.289250098,-0.539383681,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,3,RandomDot11.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.252550083,-0.508451742,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,8,3.1092,space,0,7.3551,,,,,,0,11,11,11,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,1.033,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.265690698,-0.514749078,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,0.068194457,6.9475,space,10.95192392,11.3124,0,12,12,12,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,0.6684,,,,,,,
