chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.249808821,-0.522221306,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.361968833,9.9075,space,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,1.5596,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.249359292,-0.541701022,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.037093874,2.4972,space,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,0.8599,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.238451761,-0.493104799,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,3.3545,space,29,5.4882,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,0.4073,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,0.259961971,-0.496042216,1,0,0,RightButton,"[""RightButton""]",,,,,1.973457135,5.3064,space,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,2.94,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266637731,-0.464720069,1,0,0,LeftButton,"[""LeftButton""]",11,1.8626,space,0.8961,,,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.336345693,-0.477830228,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,2.8341,space,0,4.077,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,0.5539,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,0.281322338,-0.517438984,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,1.6451,space,30,6.5626,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,4.3828,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.231651992,-0.49552688,1,0,0,LeftButton,"[""LeftButton""]",1,1.6072,space,0.7182,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.24671379,-0.485086164,1,0,0,LeftButton,"[""LeftButton""]",9,1.4089,space,0.7321,,,,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.234845197,-0.507359004,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,54.81731167,10.5214,space,54.07305529,12.9102,0,15,15,15,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,0.5289,,,,,,,,
