﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.292708397,-0.461111111,1,0,0,RightButton,"[""RightButton""]",,,,3.151041985,10.1395,space,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,1.0716,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.340625,-0.5,1,0,0,RightButton,"[""RightButton""]",23,1.8974,space,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,0.4645,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.26875,-0.45,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,74.09512106,3.0546,space,0.4163,32.74411096,3.9564,0,8,8,8,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.345833302,-0.501851908,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,0,RandomDot19.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.332291651,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,3,RandomDot26.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.332291651,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,35,3.3068,space,61,4.3216,,,,,,,0,11,11,11,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,0.5369,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.253125,-0.481481595,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,15,2.1844,space,50,5.9816,,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,0.6688,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.308333302,-0.509259372,1,0,0,LeftButton,"[""LeftButton""]",54,1.9555,space,,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,0.5117,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.232291698,-0.505555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,36.74242424,3.1855,space,0.4338,60.6271108,4.4529,0,14,14,14,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.315625,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,31,1.7388,space,41,4.2233,,,,,,,0,15,15,15,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,0.3465,,,,,,,,,,,
