﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.251708628,-0.498611156,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,66.68382171,11.9497,space,13.51646333,8.3808,0,6,6,6,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,3.8607,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.299355574,-0.54444449,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,53,4.1731,space,43,5.2198,,,,,,0,7,7,7,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,0.2057,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.243116556,-0.461111155,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,18,5.6895,space,7,7.055,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,4.7673,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,0.239601677,-0.475000044,1,0,0,RightButton,"[""RightButton""]",4,3.3674,space,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,,2.5397,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.288420162,-0.504166711,1,0,0,LeftButton,"[""LeftButton""]",9,0.9087,space,,,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,,0.5264,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.304042159,-0.541666713,1,0,0,LeftButton,"[""LeftButton""]",,,,1.455486226,1.4118,space,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,0.4162,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,0.236477287,-0.526388934,1,0,0,RightButton,"[""RightButton""]",65,2.1496,space,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,,0.7751,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.321226255,-0.538888935,1,0,0,LeftButton,"[""LeftButton""]",,,,1.6897697,2.2523,space,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,0.7826,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.260300653,-0.486111155,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,77.09642778,2.9984,space,10.83442789,3.9302,0,14,14,14,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,0.3163,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.249365336,-0.501388934,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,71.96900687,3.9123,space,47.51517383,5.232,0,15,15,15,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,0.7057,,,,,,,,,,,,
