﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,0.26875,-0.472222222,1,0,0,RightButton,"[""RightButton""]",0,2.391,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,1.5592,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,0.267708333,-0.485185185,1,0,0,RightButton,"[""RightButton""]",,,,,,,4,2.1255,space,12,4.6789,,,,,,,0,7,7,7,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,1.3167,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,-0.289583333,-0.52037037,1,0,0,LeftButton,"[""LeftButton""]",,,,0,4.5008,space,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,1.1979,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,-0.271875,-0.514814815,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,0.278125,-0.503703704,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,-0.261458333,-0.496296296,1,0,0,LeftButton,"[""LeftButton""]",,,,1,2.2264,space,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,1.5388,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.379166667,-0.531481481,1,0,0,LeftButton,"[""LeftButton""]",1,3.5481,space,,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,1.9024,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.234375,-0.509259259,1,0,0,RightButton,"[""RightButton""]",,,,0.979166667,4.5589,space,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,1.3255,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,-0.301041667,-0.525925926,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,3.2958,space,12,5.112,,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,2.9427,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,-0.291666667,-0.485185185,1,0,0,LeftButton,"[""LeftButton""]",,,,0.015625,2.8178,space,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,0.6424,,,,,,,,,,,
