﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,-0.320833333,-0.512962963,1,0,0,LeftButton,"[""LeftButton""]",,,,4.005208333,6.9392,space,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,1.9532,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.2875,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",98,1.623,space,,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,1.8412,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.26875,-0.524074074,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,46.10690236,4.2748,space,55.68181818,7.6164,0,6,6,6,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,1.4401,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.276041667,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.294791667,-0.505555556,1,0,0,LeftButton,"[""LeftButton""]",5,1.8609,space,,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,1.0439,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,-0.328125,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,68.72895623,2.5084,space,28.74579125,4.3325,0,9,9,9,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,0.8551,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.266666667,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,0.325,-0.514814815,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,-0.33125,-0.501851852,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,54.84006734,3.073,space,39.8989899,5.3804,0,12,12,12,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,1.2966,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,-0.320833333,-0.514814815,1,0,0,LeftButton,"[""LeftButton""]",74,1.6564,space,,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,1.2953,,,,,,,,,,,
