﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.3337528,-0.478822535,1,0,0,RightButton,"[""RightButton""]",,,,3.936198106,4.0997,space,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,,0.6678,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.358917976,-0.487086903,1,0,0,RightButton,"[""RightButton""]",,,,,,,67,2.0138,space,47,2.8541,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,0.9649,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.268323535,-0.513946533,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.300408914,-0.532541448,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,61.99922046,2.2991,space,35.58805866,3.2882,0,8,8,8,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,0.467,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.250707923,-0.476756183,1,0,0,RightButton,"[""RightButton""]",32,1.6498,space,,,,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,0.3661,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.318653674,-0.493285092,1,0,0,RightButton,"[""RightButton""]",,,,4.853859184,3.0188,space,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,,0.3053,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.331236315,-0.522210728,1,0,0,RightButton,"[""RightButton""]",,,,,,,67,2.0321,space,24,6.0051,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.7491,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.346335335,-0.48088854,1,0,0,RightButton,"[""RightButton""]",,,,,,,70,1.6259,space,33,2.327,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,0.5965,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.252595156,-0.485020724,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,41.68293723,2.9424,space,57.1741056,4.4603,0,13,13,13,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,0.3157,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.250078617,-0.534607454,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,67.07828594,3.042,space,32.28665278,4.6584,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,0.166,,,,,,,,,,,
