﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt,incompleteTrials,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,0.280999852,-0.484536082,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,95.39735427,3.4377,space,12.09656349,5.6629,0,3,3,3,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,0.4598,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.297402899,-0.53202132,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,-0.279047013,-0.53202132,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,92.00537613,7.0613,space,19.35382695,8.8067,0,5,5,5,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,1.3529,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,-0.261081796,-0.482036902,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.26420621,-0.520774834,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,98,7.5626,space,52,4.0437,,,,,,0,7,7,7,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,6.7079,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.363405537,-0.539518977,1,0,0,LeftButton,"[""LeftButton""]",89,2.5709,space,,,,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,1.4367,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,0.227104129,-0.473289597,1,0,0,RightButton,"[""RightButton""]",,,,,,,,21,4.0813,space,55,6.2655,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,0.9875,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.345830988,-0.517026006,1,0,0,RightButton,"[""RightButton""]",,,,,,,,94,2.6954,space,88,3.9231,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,0.2685,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,0.259910221,-0.50577952,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,30.71302569,3.2505,space,93.34638302,4.8008,0,11,11,11,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,1.3366,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,-0.280609256,-0.522024367,1,0,0,LeftButton,"[""LeftButton""]",,,,4.965833851,5.6276,space,1.7843,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.31849253,-0.492033739,1,0,0,RightButton,"[""RightButton""]",,,,3.989652232,2.442,space,0.9016,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,,,,,,,,,,,,,,,,
