chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.269260204,-0.499407328,1,0,0,LeftButton,"[""LeftButton""]",80,4.5254,space,,,,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,3.2516,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.291023597,-0.505592672,1,0,0,RightButton,"[""RightButton""]",79,2.4297,space,,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,2.6902,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.276605017,-0.536206897,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,89,5.4509,space,64,8.7813,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,0.6887,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.337670068,-0.488771552,1,0,0,RightButton,"[""RightButton""]",93,1.5677,space,,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,0.8517,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.275334821,-0.48075431,1,0,0,RightButton,"[""RightButton""]",,,,2.901227679,17.6418,space,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,2.9857,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295918367,-0.50762931,1,0,0,LeftButton,"[""LeftButton""]",80,2.1694,space,,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,0.7337,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.184848002,-0.476950431,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283684099,-0.472672414,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,36.4444831,4.8109,space,1.9715,80.51829949,3.7431,0,11,11,11,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.375478316,-0.544806034,1,0,0,RightButton,"[""RightButton""]",,,,3.992293793,2.4929,space,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,0.9518,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283700043,-0.482446121,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,,,,,,
