chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,0.242526281,-0.49407151,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280808558,-0.513259748,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.304307654,-0.51007536,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,0.306104221,-0.525649164,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,98.69655822,2.4987,space,2.0954,7.806340342,4.7049,0,4,4,4,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.327611695,-0.495382126,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,14,4.2255,space,41,7.2488,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,0.7663,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,0.248049442,-0.506839777,1,0,0,RightButton,"[""RightButton""]",,,,,,,35,1.6554,space,66,2.9062,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,0.8671,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.281003614,-0.534690367,1,0,0,RightButton,"[""RightButton""]",16,13.8244,space,,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,0.9662,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.363892083,-0.538632454,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.298394382,-0.476746805,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,18.57329869,2.4874,space,1.1289,68.88961892,3.7136,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.305128942,-0.504464286,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.2377,space,7,6.147,,,,,,,0,10,10,10,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,2.2961,,,,,,,,
