chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.288362545,-0.508956163,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,26.6647219,8.5123,space,2.0343,18.55140027,7.4284,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,0.260256873,-0.521548801,1,0,0,RightButton,"[""RightButton""]",,,,,,,33,5.9732,space,81,10.5567,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,1.1701,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,0.275948334,-0.499874403,1,0,0,RightButton,"[""RightButton""]",,,,4.457291497,1.995,space,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,1.1895,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,0.338969676,-0.51537774,1,0,0,RightButton,"[""RightButton""]",33,5.9245,space,,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,3.3843,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.298702198,-0.528947618,1,0,0,LeftButton,"[""LeftButton""]",,,,4.375991821,4.3569,space,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,1.5511,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,0.241591644,-0.544525825,1,0,0,RightButton,"[""RightButton""]",,,,2.353020138,2.3402,space,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,0.6175,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.303306368,-0.459416504,1,0,0,LeftButton,"[""LeftButton""]",28,3.0917,space,,,,,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,0.36,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,0.224510871,-0.52161065,1,0,0,RightButton,"[""RightButton""]",6,3.7085,space,,,,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,0.7344,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.291981294,-0.49738756,1,0,0,LeftButton,"[""LeftButton""]",,,,2.732867347,3.734,space,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,0.0684,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,0.269066705,-0.517491319,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,26.78990905,1.4553,space,0.5514,41.62206853,2.5727,0,12,12,12,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.299207391,-0.471117757,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.249507056,-0.495174018,1,0,0,LeftButton,"[""LeftButton""]",,,,1.367359161,3.4072,space,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,2.2681,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,0.309501224,-0.51184828,1,0,0,RightButton,"[""RightButton""]",,,,1.144594404,1.7417,space,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,1.1839,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.329702928,-0.502577989,1,0,0,LeftButton,"[""LeftButton""]",34,2.05,space,,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,0.1334,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.290779114,-0.541109077,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,0,both_right.png,2,RandomDot23.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.262762027,-0.472338732,1,0,0,LeftButton,"[""LeftButton""]",,,,1.344638824,2.0781,space,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,0.3363,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,0.18418969,-0.537173394,1,0,0,RightButton,"[""RightButton""]",28,1.8067,space,,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,2.3662,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,0.245935737,-0.544452989,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,20,20,20,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.334021293,-0.501117893,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.301146486,-0.516250678,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,36,3.258,space,17,4.3077,,,,,,,0,22,22,22,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,0.6196,,,,,,,,
