chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,0.303721788,-0.505078125,1,0,0,RightButton,"[""RightButton""]",,,,4.93109809,6.5715,space,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,0.749,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.248193359,-0.502109375,1,0,0,LeftButton,"[""LeftButton""]",,,,2.012261285,2.7588,space,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,0.3645,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.261083984,-0.504583333,1,0,0,LeftButton,"[""LeftButton""]",80,4.963,space,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,0.7528
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.298540582,-0.489739583,1,0,0,LeftButton,"[""LeftButton""]",82,3.5064,space,,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,0.6991
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258371311,-0.517265625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,5.0045,space,90,9.2381,,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,0.5683,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.261691623,-0.504479167,1,0,0,RightButton,"[""RightButton""]",,,,4.015218099,6.1407,space,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,0.6149,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,0.294037543,-0.514097222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.277701823,-0.472222222,1,0,0,LeftButton,"[""LeftButton""]",,,,1.996229384,1.7079,space,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,0.3828,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.25116645,-0.492760417,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.267469618,-0.484765625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.393999566,-0.495486111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,69.6013959,3.9378,space,0.4341,30.17611006,6.1034,0,15,15,15,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.24851888,-0.507855903,1,0,0,LeftButton,"[""LeftButton""]",,,,1.980360243,3.6203,space,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,0.3979,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.261512587,-0.529331597,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,61.07702459,3.0662,space,0.4742,29.42423366,4.1334,0,17,17,17,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,
