chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.286146884,-0.477511258,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.719,space,100,5.3146,,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.8913,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.276365831,-0.513100722,1,0,0,RightButton,"[""RightButton""]",0,3.0616,space,,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,0.9405,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.288224114,-0.538876953,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,4.1957,space,99,6.1847,,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,0.8072,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.243380653,-0.489911974,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,3.8341,space,100,5.2651,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,0.7593,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.26466963,-0.539324816,1,0,0,RightButton,"[""RightButton""]",,,,0.027508842,10.9853,space,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,0.8984,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,0.267690786,-0.522977024,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,4.3187,space,99,6.0931,,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,0.7772,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.310737016,-0.518882921,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.04969426,4.3184,space,0.4676,0.345763989,5.7968,0,10,10,10,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.229888831,-0.503724908,1,0,0,RightButton,"[""RightButton""]",,,,1.03406016,7.5259,space,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,1.0335,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,0.261944156,-0.494136285,1,0,0,RightButton,"[""RightButton""]",1,2.5304,space,,,,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,1.0397,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.223189545,-0.488865017,1,0,0,RightButton,"[""RightButton""]",2,3.2469,space,,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,2.2504,,,,,,,
