key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
,,,,,,4,1.1584,0,31,31,26,1,27,image/27.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,5,0.7748,0,32,32,22,1,23,image/23.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,4,1.0059,0,33,33,7,1,8,image/8.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,4,0.7342,0,34,34,33,1,34,image/34.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,0.6881,0,35,35,44,1,45,image/45.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,1.6663,0,36,36,18,1,19,image/19.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,6,0.5978,0,37,37,15,1,16,image/16.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.2474,0,38,38,41,1,42,image/42.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,5,0.2755,0,39,39,24,1,25,image/25.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,0.3794,0,40,40,47,1,48,image/48.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,4,0.2134,0,41,41,25,1,26,image/26.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.2904,0,42,42,20,1,21,image/21.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,1,0.8375,0,43,43,3,1,4,image/4.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,5,0.731,0,44,44,12,1,13,image/13.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,4,1.2104,0,45,45,32,1,33,image/33.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,5.6701,0,46,46,19,1,20,image/20.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,5,2.119,0,47,47,29,1,30,image/30.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,1.4386,0,48,48,13,1,14,image/14.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,1,1.3023,0,49,49,4,1,5,image/5.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,0,0,0,1,1,1,competent.png
,,,,,,4,1.7281,0,0,0,6,1,7,image/7.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
