chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272987196,-0.527326389,1,0,0,RightButton,"[""RightButton""]",,,,1.007432726,9.8282,space,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,0.7898,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.291351997,-0.504036458,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,2,RandomDot23.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.335091146,-0.505529514,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,68.69169122,17.1269,space,41.16983638,20.4649,0,8,8,8,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,0.4808,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277734375,-0.527552083,1,0,0,RightButton,"[""RightButton""]",,,,0.816134983,12.7125,space,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,0.902,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.31437717,-0.478888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.31437717,-0.478888889,1,0,0,RightButton,"[""RightButton""]",,,,0.055582682,6.7611,space,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,4.3626,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.330137804,-0.470512153,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.34718967,-0.513428819,1,0,0,LeftButton,"[""LeftButton""]",0,2.5821,space,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,0.7384,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,0.247374132,-0.456649306,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,68.44892063,5.1288,space,32.45091979,6.2298,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,0.587,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.347645399,-0.545078125,1,0,0,LeftButton,"[""LeftButton""]",,,,0.002821181,7.0288,space,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,2.5429,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.235476345,-0.527838542,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,7.0072,space,19,8.618,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,,0.5556,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.353293186,-0.492178819,1,0,0,LeftButton,"[""LeftButton""]",0,3.2971,space,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,0.7407,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,0.346061198,-0.524982639,1,0,0,RightButton,"[""RightButton""]",,,,0.010715061,3.6841,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,0.7079,,,,,,,
