chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.248882378,-0.545130208,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.332400174,-0.483446181,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,38.5355289,1.2724,space,74.00633944,2.1474,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,0.3735,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269656033,-0.509088542,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,33,1.4525,space,24,2.7157,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,0.9441,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240576172,-0.487126736,1,0,0,RightButton,"[""RightButton""]",,,,,,,,62,2.4155,space,72,3.3425,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,0.8713,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.325390625,-0.483342014,1,0,0,RightButton,"[""RightButton""]",35,1.8393,space,0.6193,,,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.235736762,-0.513663194,1,0,0,RightButton,"[""RightButton""]",,,,,0.049994575,1.6647,space,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,0.938,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.350531684,-0.494513889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,32.93207684,3.9932,space,68.59633663,5.1516,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,0.3568,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265386285,-0.515147569,1,0,0,RightButton,"[""RightButton""]",,,,,2.094021267,2.0085,space,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,0.638,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.32428928,-0.509045139,1,0,0,RightButton,"[""RightButton""]",,,,,1.910129123,4.2378,space,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,0.6391,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.267154948,-0.500885417,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,44.13130875,1.012,space,80.31125053,1.6566,0,13,13,13,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,0.3045,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301671007,-0.469774306,1,0,0,RightButton,"[""RightButton""]",6,2.4529,space,1.3237,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,0.268771701,-0.526475694,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,23.49800084,3.7014,space,72.50477869,4.6007,0,15,15,15,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,0.15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.290071615,-0.501119792,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,46.1381392,1.0568,space,52.95380015,1.9101,0,16,16,16,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,1.3271,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.006325955,-0.365833333,0,0,0,,[],,,,,,,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,,77,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.260210503,-0.494244792,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253515625,-0.4765625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,45,1.2635,space,62,2.1647,,,,,,0,19,19,19,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,3.8862,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.15054796,-0.495850694,0,0,0,,[],,,,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,,75,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.307107205,-0.591605903,0,0,0,,[],,,,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,,62,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.262982856,-0.484835069,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,,,,,,
