chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.249375831,-0.537213542,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.260043505,-0.533136122,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,40,6.7266,space,39,7.6658,,,,,,0,5,5,5,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,1.0214,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,0.267914157,-0.51823839,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,96.51163189,1.585,space,96.26368941,2.5719,0,6,6,6,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,1.8303,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.304030779,-0.518879937,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.272249095,-0.499612359,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,7.8959,space,51,8.8497,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,0.8089,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.272545624,-0.527096761,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,9,9,9,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.281635454,-0.495665961,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,39.12228157,11.0601,space,54.80625311,15.9269,0,10,10,10,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,4.8497,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.246836005,-0.500260959,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,39,5.0041,space,2,10.0767,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,1.4284,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,0.265747748,-0.478895399,1,0,0,RightButton,"[""RightButton""]",,,,4.936675178,89.822,space,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,86.1063,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.30254542,-0.485662706,1,0,0,RightButton,"[""RightButton""]",,,,4.929732429,10.1796,space,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,0.7181,,,,,,,
