key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
,,,,5.91340305,2.0373,space,0.373,0,51,51,24,1,25,image/25.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,1.314488717,2.1077,space,0.4915,0,52,52,29,1,30,image/30.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,0,2,2,2,1,2,trustworthy.png
,,,,3.248506481,4.5908,space,0.8887,0,0,0,37,1,38,image/38.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,4.991371326,6.3857,space,5.2381,0,1,1,50,1,60,image/60.jpg,1,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,1.048373984,4.7076,space,0.6407,0,2,2,40,1,41,image/41.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.497364345,2.5534,space,0.4933,0,3,3,49,1,50,image/50.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.407410031,9.0342,space,0.3675,0,4,4,23,1,24,image/24.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,1.805489408,2.0384,space,0.467,0,5,5,14,1,15,image/15.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,1.528130214,1.7706,space,0.3929,0,6,6,12,1,13,image/13.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,4.99511988,2.9374,space,0.6841,0,7,7,51,1,57,image/57.jpg,1,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,2.187795417,2.9914,space,0.6846,0,8,8,15,1,16,image/16.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.336196427,2.4712,space,0.5834,0,9,9,39,1,40,image/40.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,1.674305975,2.8545,space,0.459,0,10,10,13,1,14,image/14.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,6.835434775,1.7776,space,1.6433,0,11,11,3,1,4,image/4.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,6.426892491,1.6166,space,0.387,0,12,12,20,1,21,image/21.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,2.165306838,2.1479,space,0.5338,0,13,13,30,1,31,image/31.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.182524244,2.1544,space,0.3685,0,14,14,6,1,7,image/7.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,6.295708887,1.6214,space,0.5177,0,15,15,35,1,36,image/36.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.669777239,2.2376,space,0.4339,0,16,16,42,1,43,image/43.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
