chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280555556,-0.486666667,1,0,0,RightButton,"[""RightButton""]",,,,4.972222222,6.03,space,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,1.463,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.311111111,-0.497777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,60.1010101,4.195,space,59.39955107,7.08,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,1.068,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297222222,-0.471111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,3,4.25,space,1.076,31,6.865,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313888889,-0.528888889,1,0,0,LeftButton,"[""LeftButton""]",10,4.17,space,,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,,0.488,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.283333333,-0.528888889,1,0,0,RightButton,"[""RightButton""]",,,,4.951388889,2.664,space,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,1.524,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.295833333,-0.511111111,1,0,0,LeftButton,"[""LeftButton""]",,,,4.736111111,2.184,space,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,0.332,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.251388889,-0.517777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,88.2996633,8.128,space,29.7979798,13.479,0,12,12,12,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,0.704,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.325,-0.486666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,90.2637486,2.659,space,12.40179574,5.725,0,13,13,13,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,0.756,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.304166667,-0.486666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283333333,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.94388328,2.646,space,0.617283951,6.729,0,15,15,15,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,3.803,,,,,,,,
