chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.354550962,-0.535713252,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.336104782,-0.51412037,1,0,0,RightButton,"[""RightButton""]",,,,,2.493534795,8.6449,space,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,1.0083,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.235234013,-0.526859086,1,0,0,RightButton,"[""RightButton""]",,,,,2.496948242,4.8656,space,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,0.9817,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.224234122,-0.480324074,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.31820666,5.1346,space,49.8342255,8.5715,0,9,9,9,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,0.5598,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.277090567,-0.54296875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.238864475,-0.478421586,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.256700304,-0.525188079,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,54.53436638,7.6312,space,48.83044493,10.2768,0,12,12,12,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,0.9765,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.296820747,-0.501511863,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,13.1615,space,3,17.3816,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,1.3077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.279134115,-0.518778935,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.507505064,3.1331,space,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,0.8691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.233547635,-0.532052951,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.222832574,-0.541572627,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.26327803,4.3162,space,39.89277906,7.1767,0,16,16,16,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,0.6827,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.309231228,-0.5322989,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.506487811,2.3077,space,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,0.5269,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.345341435,-0.535300926,1,0,0,RightButton,"[""RightButton""]",30,3.6591,space,0.6875,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29446072,-0.514048032,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.4940281,3.7762,space,39.84893787,7.3716,0,19,19,19,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,2.176,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257315177,-0.498408565,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.486436632,2.5986,space,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,0.5847,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.237458406,-0.484006076,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.99213781,4.8202,space,29.09140596,7.6712,0,21,21,21,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,0.9385,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.24697989,-0.487456597,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,52,7.6266,space,9,8.9732,,,,,,0,22,22,22,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,0.4408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.255416305,-0.510633681,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,43,4.0313,space,19,6.8974,,,,,,0,23,23,23,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,0.5143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.362783927,-0.500672743,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,56.85931947,27.3156,space,20.42546413,29.8703,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,1.5625,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.223203306,-0.541934317,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.526606807,1.416,space,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,0.7192,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.313218859,-0.514048032,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,59.96017028,6.0698,space,11.85405487,8.3163,0,26,26,26,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,0.5464,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.303887261,-0.471911169,1,0,0,RightButton,"[""RightButton""]",38,5.8215,space,1.5164,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.290925203,-0.524377894,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,41,3.3672,space,11,5.814,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.4211
