chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.288486842,-0.484177678,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,97.66644885,3.2872,space,5.30044598,4.4454,0,4,4,4,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,1.2185,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.289158443,-0.516224275,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.316118421,-0.509639558,1,0,0,RightButton,"[""RightButton""]",,,,,,,,20,4.0744,space,20,7.2671,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,1.2747,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.26630117,-0.491778239,1,0,0,LeftButton,"[""LeftButton""]",47,2.563,space,,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,1.4185,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.260110563,-0.506211997,1,0,0,RightButton,"[""RightButton""]",0,3.5903,space,,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,1.0066,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.248492325,-0.535810337,1,0,0,RightButton,"[""RightButton""]",,,,,,,,20,4.4394,space,21,6.1053,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,1.2344,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.263130482,-0.495958548,1,0,0,RightButton,"[""RightButton""]",,,,4.966145833,4.0228,space,2.9083,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.265478801,-0.497390961,1,0,0,LeftButton,"[""LeftButton""]",,,,4.996893275,3.9036,space,2.2289,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.237070541,-0.535386459,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.29566886,-0.518606759,1,0,0,RightButton,"[""RightButton""]",,,,,,,,18,1.9487,space,19,3.1031,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,2.39,,,,,,,
