chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.396055773,-0.497291667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,4.6555,space,20,9.4515,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,0.8629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.303759766,-0.496111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.218999566,-0.542352431,1,0,0,RightButton,"[""RightButton""]",70,3.8034,space,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,1.7196,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.262293837,-0.502942708,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.71045086,5.0108,space,30.12076056,6.8653,0,8,8,8,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,0.4213,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.391400825,-0.530824653,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,60,4.4943,space,21,7.121,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,0.6462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.241672092,-0.536449653,1,0,0,RightButton,"[""RightButton""]",40,3.8626,space,,,,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,0.9691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.287868924,-0.512013889,1,0,0,LeftButton,"[""LeftButton""]",,,,0.971218533,8.3786,space,0.869,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.354562717,-0.521779514,1,0,0,LeftButton,"[""LeftButton""]",71,2.3056,space,,,,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,1.0696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,0.254481337,-0.477847222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.06703318,3.4422,space,49.80216663,9.7314,0,13,13,13,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,4.1003,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,0.322911241,-0.511527778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,28.94088454,3.8138,space,76.55570462,8.0935,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,0.801,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273480903,-0.509262153,1,0,0,LeftButton,"[""LeftButton""]",59,3.7552,space,,,,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,2.0853,
