chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.282663303,-0.490844184,1,0,0,RightButton,"[""RightButton""]",,,,,,,,90,4.5933,space,40,9.2185,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,1.5314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.328571065,-0.507340224,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,89.86583842,5.1263,space,19.19404189,7.1944,0,6,6,6,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,1.0588,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.290692817,-0.505262044,1,0,0,LeftButton,"[""LeftButton""]",21,3.7723,space,1.7679,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,0.235144297,-0.52408488,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.76005477,3.4981,space,69.59623258,5.2698,0,8,8,8,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,0.9177,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255708398,-0.523938666,1,0,0,RightButton,"[""RightButton""]",,,,,,,,90,4.3719,space,20,6.6732,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,0.975,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283681658,-0.508923475,1,0,0,RightButton,"[""RightButton""]",,,,,2.989120483,11.7718,space,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,1.1709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.336445321,-0.499083116,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.040832096,3.8555,space,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,1.2986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.285326301,-0.462173665,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,80,4.4869,space,20,7.2193,,,,,,0,12,12,12,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,1.1054,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.277522871,-0.520359565,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,70.247514,5.6161,space,70.09933592,7.0235,0,13,13,13,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,0.6828,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.26427892,-0.537729763,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.004557716,5.8069,space,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,1.1707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,0.231875356,-0.516094971,1,0,0,RightButton,"[""RightButton""]",,,,,2.999117533,2.6298,space,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,1.1331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.260147942,-0.527574463,1,0,0,RightButton,"[""RightButton""]",90,3.9781,space,1.5465,,,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,0.281363678,-0.53887519,1,0,0,RightButton,"[""RightButton""]",,,,,3.011487325,5.2906,space,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,1.2045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.270436435,-0.523067763,1,0,0,RightButton,"[""RightButton""]",100,3.1177,space,1.3088,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255783166,-0.50964586,1,0,0,RightButton,"[""RightButton""]",,,,,,,,90,3.4746,space,60,10.7469,,,,,,0,19,19,19,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,2.9429,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.230385335,-0.535131429,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.00096314,5.4623,space,59.90249171,7.1339,0,20,20,20,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,0.5717,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297870806,-0.473243273,1,0,0,RightButton,"[""RightButton""]",,,,,,,,100,5.3613,space,59,8.8097,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,0.6938,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,0.298246596,-0.477101644,1,0,0,RightButton,"[""RightButton""]",,,,,3.990105099,4.2871,space,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,0.9679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.230113729,-0.506662598,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.16137456,4.333,space,60.44249187,6.6539,0,23,23,23,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,0.2852,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.274261305,-0.527416721,1,0,0,LeftButton,"[""LeftButton""]",94,2.7769,space,0.7013,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.248696476,-0.507672797,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,49.73399872,4.8694,space,60.87079118,6.1699,0,25,25,25,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,0.5844,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.269881185,-0.493397624,1,0,0,RightButton,"[""RightButton""]",94,4.1758,space,0.9527,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.286024051,-0.50036499,1,0,0,RightButton,"[""RightButton""]",,,,,,,,94,3.7879,space,69,6.6733,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,0.8187,
