chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.258333286,-0.516666695,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,9,1.8984,space,10,2.8021,,,,,,,0,6,6,6,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,0.6497,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.350000064,-0.542592649,1,0,0,RightButton,"[""RightButton""]",10,1.671,space,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,0.7784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.242708365,-0.509259259,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,39.79377425,3.6472,space,1.0861,0.547138047,9.753,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292708317,-0.501851824,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,31,2.124,space,9,4.7584,,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,0.4884,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.330208302,-0.511111083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,79.67172199,2.9613,space,0.3069,9.385523491,3.9036,0,10,10,10,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275000016,-0.487037094,1,0,0,LeftButton,"[""LeftButton""]",10,1.9887,space,,,,,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,0.3238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,30,3.2216,space,3,6.5401,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,0.3924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282291651,-0.511111083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,9,2.0898,space,11,4.7508,,,,,,,0,13,13,13,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,0.432,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265625,-0.53333339,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,59.78535675,2.2046,space,0.3717,11.27946208,3.7174,0,14,14,14,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.262500048,-0.516666695,1,0,0,RightButton,"[""RightButton""]",,,,0.125000079,1.4258,space,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,1.5438,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.244791667,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",20,1.7203,space,,,,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,1.0914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.325000048,-0.514814871,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,88.51010743,4.1539,space,1.4973,4.966330769,5.7307,0,17,17,17,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.329166651,-0.511111083,1,0,0,LeftButton,"[""LeftButton""]",,,,0.828125079,1.1177,space,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,1.172,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.333333333,-0.529629601,1,0,0,RightButton,"[""RightButton""]",11,1.2936,space,,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,1.0127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.28125,-0.48518527,1,0,0,RightButton,"[""RightButton""]",,,,0.880208413,0.9865,space,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,0.9465,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.272916635,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,82.40741062,1.0115,space,0.7475,9.069867728,2.2939,0,21,21,21,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269791683,-0.511111083,1,0,0,RightButton,"[""RightButton""]",,,,0.45312504,1.5093,space,,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,0.975,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.294791698,-0.498148176,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.276041667,-0.503703788,1,0,0,RightButton,"[""RightButton""]",,,,0.317708453,1.5257,space,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,1.1516,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.228125016,-0.475926011,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,25,25,25,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.310416698,-0.501851824,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,67.57155364,2.1765,space,1.042,10.12205628,3.9612,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.252083302,-0.544444473,1,0,0,LeftButton,"[""LeftButton""]",11,1.1396,space,,,,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,,0.8372
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.264583349,-0.509259259,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,3.303,space,12,1.757,,,,,,,0,28,28,28,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,1.9397,
