chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.271457248,-0.481152205,1,0,0,LeftButton,"[""LeftButton""]",49,3.8847,space,0.367,,,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.354296875,-0.50241154,1,0,0,RightButton,"[""RightButton""]",,,,,4.973063151,7.6498,space,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,0.285,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,,101,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,,133,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,,152,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,92,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,,162,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,34,34,34,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,201,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,67,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,116,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,37,37,37,1,0,both_right.png,3,RandomDot26.png,No answer,20,,,,44,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,38,38,38,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,,110,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,39,39,39,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,,66,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,40,40,40,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,193,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,41,41,41,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,,58,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,58,0,0,0,6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,,58,0,1,1,11,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,58,0,2,2,8,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.17616645,0.990976174,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,58,0,3,3,4,1
