chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.24156901,-0.534401042,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,11,3.6836,space,32,5.6212,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,1.2398,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.353895399,-0.505373264,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.251844618,-0.518246528,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.966471354,8.8973,space,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,1.0925,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.272905816,-0.526345486,1,0,0,RightButton,"[""RightButton""]",,,,,2.928927951,7.4793,space,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.8256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.360443793,-0.539626736,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.358962674,-0.517065972,1,0,0,RightButton,"[""RightButton""]",80,4.826,space,2.9389,,,,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.236067708,-0.493368056,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.092963325,3.0722,space,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,0.9059,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.216417101,-0.525451389,1,0,0,LeftButton,"[""LeftButton""]",17,5.0665,space,0.6949,,,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.33046875,-0.514765625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,14,4.1832,space,23,5.1198,,,,,,0,12,12,12,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,0.6277,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.346055773,-0.486545139,1,0,0,RightButton,"[""RightButton""]",47,4.2885,space,0.7,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,
