chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.291387801,-0.478943655,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.211066434,-0.496074276,1,0,0,LeftButton,"[""LeftButton""]",80,1.7826,space,0.3807,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244087515,-0.491791621,1,0,0,RightButton,"[""RightButton""]",20,1.0991,space,0.5837,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.31637659,-0.476088595,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,80.33458738,2.5441,space,28.86045015,4.9871,0,9,9,9,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,0.3485,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.282463186,-0.511777302,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,71.049408,4.8881,space,19.48512894,3.3345,0,10,10,10,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,0.2716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.261936663,-0.513204897,1,0,0,RightButton,"[""RightButton""]",,,,,,,,40,3.3627,space,39,5.1238,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,0.9832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.270861195,-0.510349837,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.541499331,6.3769,space,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,3.4044,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.22356091,-0.494646681,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,21,2.6014,space,27,3.7684,,,,,,0,13,13,13,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,0.7061
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.293172691,-0.491791621,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,21,3.302,space,21,4.1757,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,0.2843
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.251227076,-0.534618173,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.978804378,3.4339,space,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,1.1175,,
