chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,73,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,101,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,126,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,78,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,156,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,153,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,113,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,132,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,129,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,65,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,114,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,189,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,3,RandomDot17.png,No answer,21,,,39,,,,,
