chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288888889,-0.52,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.240277778,-0.528888889,1,0,0,LeftButton,"[""LeftButton""]",,,,3.951388889,10.832,space,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,1.102,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.270833333,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,41,4.782,space,1.605,5,6.715,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.293055556,-0.504444444,1,0,0,LeftButton,"[""LeftButton""]",,,,4,6.133,space,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,0.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.325,-0.537777778,1,0,0,LeftButton,"[""LeftButton""]",,,,4.048611111,2.583,space,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,0.516,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.313888889,-0.54,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,35.69023569,8.393,space,66.69472503,13.58,0,9,9,9,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,1.519,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.347222222,-0.508888889,1,0,0,RightButton,"[""RightButton""]",36,4.603,space,,,,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,2.741
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297222222,-0.491111111,1,0,0,RightButton,"[""RightButton""]",30,5.434,space,,,,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,0.969
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.223611111,-0.528888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,29.9382716,4.863,space,31.9023569,11.329,0,12,12,12,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,2.888,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.258333333,-0.524444444,1,0,0,LeftButton,"[""LeftButton""]",25,4.754,space,,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,0.953
