chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,"[""RightButton_2""]",0.29706607,-0.339803862,1,0,0,0,2,2,1,1,LeftButton_2,9dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,0.2,0.225900024,-0.501405184,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,19.3532,space,1.211,63,25.6514,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,0.231735663,-0.544843991,1,0,0,RightButton,"[""RightButton""]",77,3.8733,space,,,,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,1.2854,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.307642185,-0.524861081,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,65,4.1104,space,1.4865,75,5.9915,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.32749178,-0.480501589,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,45.76044559,1.8986,space,37.83190245,3.5768,0,3,3,3,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,1.0344,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.289055955,-0.51212674,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.373707577,-0.483092574,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,74,2.8668,space,1.0502,77,4.0459,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,0.323512666,-0.541144057,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,75.35664812,2.1205,space,60.149619,3.4312,0,6,6,6,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,3.6206,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.213790302,-0.503113137,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,37.58093307,3.2596,space,42.52733209,5.4597,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,1.9667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.306933578,-0.497915349,1,0,0,LeftButton,"[""LeftButton""]",,,,1.264332404,12.4687,space,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,1.1382,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.247718515,-0.474442775,1,0,0,LeftButton,"[""LeftButton""]",,,,1.285727412,4.8978,space,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,1.2129,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.349329,-0.502369711,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,34.03944984,1.6215,space,53.31358556,4.4625,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,1.6587,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.275166199,-0.541172941,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,3.8961,space,0.8044,34,6.0223,,,,,,0,11,11,11,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.239474117,-0.545039991,1,0,0,RightButton,"[""RightButton""]",,,,1.135832706,3.9736,space,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,1.0601,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.227825392,-0.500900054,1,0,0,RightButton,"[""RightButton""]",,,,,,,76,3.2869,space,0.7001,39,5.5214,,,,,,0,13,13,13,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,0.301885166,-0.516257187,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.347379936,-0.480379174,0,0,0,,[],,,,,,,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,,109,,,,,
