chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,0.311564626,-0.526086957,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,39.96770425,6.299,space,70.2020202,9.783,0,5,5,5,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,,0.65,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.221768707,-0.52826087,1,0,0,LeftButton,"[""LeftButton""]",,,,4.969387755,3.95,space,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,1.306,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.231292517,-0.515217391,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,100,2.081,space,70,3.266,,,,,,0,7,7,7,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,0.467,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280272109,-0.517391304,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,49.45028516,3.53,space,60.16972446,5.471,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,,0.427,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318367347,-0.52173913,1,0,0,RightButton,"[""RightButton""]",,,,4.989795918,2.905,space,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,0.556,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.263945578,-0.534782609,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,100,3.091,space,50,5.784,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,0.706,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,0.258503401,-0.506521739,1,0,0,RightButton,"[""RightButton""]",53,5.622,space,,,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,3.236,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.317006803,-0.532608696,1,0,0,RightButton,"[""RightButton""]",,,,,,,100,1.905,space,50,3.046,,,,,,0,12,12,12,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,0.283,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.25170068,-0.476086957,1,0,0,LeftButton,"[""LeftButton""]",,,,4.969387755,4.226,space,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,0.834,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.292517007,-0.545652174,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,100,2.35,space,50,3.535,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,0.619,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.284353741,-0.526086957,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,67.17858861,6.678,space,81.47117433,9.767,0,15,15,15,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,,0.451,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,0.248979592,-0.526086957,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,78.86002886,2.283,space,44.91513777,3.206,0,16,16,16,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,,0.638,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258503401,-0.502173913,1,0,0,LeftButton,"[""LeftButton""]",76,1.608,space,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,0.335,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.31292517,-0.526086957,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,3,RandomDot17.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.253061224,-0.497826087,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,69,6.058,space,79,8.216,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,0.633,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.229931973,-0.506521739,1,0,0,LeftButton,"[""LeftButton""]",,,,4.948979592,25.058,space,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,0.504,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.285714286,-0.493478261,1,0,0,LeftButton,"[""LeftButton""]",80,2.195,space,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,0.688,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.25170068,-0.543478261,1,0,0,LeftButton,"[""LeftButton""]",,,,4.540816327,2.934,space,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,0.885,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.288435374,-0.539130435,1,0,0,LeftButton,"[""LeftButton""]",81,2.72,space,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,0.276,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273469388,-0.504347826,1,0,0,LeftButton,"[""LeftButton""]",22,2.386,space,,,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,0.384,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318367347,-0.513043478,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,25,25,25,1,0,both_right.png,1,RandomDot35.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.185034014,0.213043478,0,0,0,,[],,,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,,89,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,0.382312925,-0.52826087,1,0,0,RightButton,"[""RightButton""]",68,1.702,space,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,0.467,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.221768707,-0.517391304,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,52,2.637,space,79,4.636,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,0.237,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.300680272,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,16,3.846,space,70,6.463,,,,,,0,29,29,29,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,0.351,,,,,,,
