chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254758419,-0.505208333,1,0,0,LeftButton,"[""LeftButton""]",,,,2.653733529,2.921,space,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,4.2307,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265007321,-0.515625,1,0,0,RightButton,"[""RightButton""]",,,,4.952415813,3.6993,space,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,1.2653,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297218155,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,62,6.4145,space,30,11.1325,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,2.3902,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.319180088,-0.53125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,98.06483577,3.2606,space,21.75266575,5.4262,0,9,9,9,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,0.6746,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.272327965,-0.536458333,1,0,0,LeftButton,"[""LeftButton""]",,,,2.646412884,3.1244,space,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,0.5664,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.358711567,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,87.12084239,2.38,space,22.34423296,7.8916,0,11,11,11,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,0.5179,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.382137628,-0.481770833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,90.22657024,2.511,space,28.40779686,5.9833,0,12,12,12,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,0.4422,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.34114202,-0.536458333,1,0,0,RightButton,"[""RightButton""]",,,,,,,79,2.8811,space,40,8.8944,,,,,,0,13,13,13,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,0.4615,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269399707,-0.502604167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,14,14,14,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.304538799,-0.526041667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,15,15,15,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
