chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.265277778,-0.504444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,70.34231201,9.277,space,59.11896745,10.779,0,5,5,5,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,0.921,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.311111111,-0.508888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,90,4.285,space,60,8.287,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.358333333,-0.502222222,1,0,0,RightButton,"[""RightButton""]",,,,4.923611111,5.203,space,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,3.555,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.334722222,-0.475555556,1,0,0,LeftButton,"[""LeftButton""]",,,,4.986111111,4.685,space,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,0.864,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.355555556,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,4.165,space,61,7.895,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,,1.522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.252777778,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,79,3.164,space,59,6.384,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,,0.993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293055556,-0.54,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,39.19753086,6.382,space,69.78114478,9.327,0,11,11,11,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,0.574,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.276388889,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,3.35,space,60,4.863,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,,1.534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.279166667,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273611111,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,99,3.355,space,70,8.62,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,,3.484
