chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,space,0.9178,[],-0.00755814,-0.134722222,0,0,0,0,0,0,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,"[""LeftButton_2""]",-0.251162791,-0.340277778,1,0,0,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,"[""RightButton_2""]",0.326162791,-0.308333333,1,0,0,0,2,2,0,1,RightButton_2,11dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Smaller,Greater,,0.4,-0.227906977,-0.513888889,1,0,0,LeftButton,"[""LeftButton""]",70,13.3281,space,11.4193,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.337790698,-0.509722222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,2.5469,space,70,4.8153,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,3.6237,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.243023256,-0.513888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Smaller,Greater,,,0.247674419,-0.455555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,4.3906,space,100,3.3846,0,3,3,3,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,1.2337,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.349418605,-0.529166667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,3,RandomDot39.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.228488372,-0.495833333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.254069767,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,5,3.5549,space,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,3.8177,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Smaller,Greater,,,0.252906977,-0.530555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,4.526,space,100,2.5844,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,0.4229,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Smaller,Greater,,,0.299418605,-0.538888889,1,0,0,RightButton,"[""RightButton""]",,,,,3.005813953,1.6722,space,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,1.6281,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.319767442,-0.516666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,80,34.5495,space,50,36.4901,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,1.3296,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.302906977,-0.506944444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.33591731,4.0365,space,50.41108762,5.3209,0,10,10,10,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,2.1534,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.172674419,-0.529166667,1,0,0,LeftButton,"[""LeftButton""]",,,,,3,19.1773,space,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,1.2037,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.285465116,-0.527777778,1,0,0,RightButton,"[""RightButton""]",60,1.9832,space,1.2011,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,,,,,,,
