chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,,0.307921092,-0.50515634,1,0,0,RightButton,"[""RightButton""]",,,,,0.967090925,4.5356,space,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,2.2138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,0.218138933,-0.525249481,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.360983968,-0.496965338,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.998162826,3.5474,space,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,0.737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,,0.237463554,-0.524886379,1,0,0,RightButton,"[""RightButton""]",,,,,1.0032173,2.3914,space,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,0.5498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2227482,-0.526031353,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,69.09126738,4.0233,space,37.61134517,6.1854,0,9,9,9,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,0.4681,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,0.23197341,-0.51591308,1,0,0,RightButton,"[""RightButton""]",,,,,0.976032813,3.0551,space,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,5.6457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,0.330441395,-0.500322413,1,0,0,RightButton,"[""RightButton""]",24,5.0674,space,0.7003,,,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,0.233483871,-0.516985717,1,0,0,RightButton,"[""RightButton""]",,,,,,,,44,3.3531,space,64,7.6722,,,,,,0,12,12,12,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,0.5539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,,0.256523768,-0.499684228,1,0,0,RightButton,"[""RightButton""]",37,1.6282,space,0.3297,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.204870303,-0.471217544,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,45,2.4082,space,70,3.4242,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,0.34,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275013685,-0.506224032,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25982666,-0.50422287,1,0,0,RightButton,"[""RightButton""]",38,2.1326,space,0.4697,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.26324741,-0.50643271,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,44,2.0831,space,66,3.5616,,,,,,0,17,17,17,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,0.2953,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.209866921,-0.508516524,1,0,0,LeftButton,"[""LeftButton""]",30,2.0057,space,0.501,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,0.221167167,-0.482962008,1,0,0,RightButton,"[""RightButton""]",,,,,0.965451002,8.0281,space,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,0.4108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,0.266777436,-0.467860328,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,38.56034744,3.1099,space,61.46465841,4.12,0,20,20,20,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,0.2873,,
