chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.239805773,-0.533993056,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,0.361735026,-0.524184028,1,0,0,RightButton,"[""RightButton""]",10,4.9099,space,,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,3.2997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.32016059,-0.482795139,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,80.83570076,3.3185,space,38.64458386,7.7864,0,7,7,7,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,3.6491,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,0.299620226,-0.498480903,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,90.61995826,2.7359,space,23.14233919,3.9731,0,8,8,8,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,1.4733,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253938802,-0.53546875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.26195204,-0.459921875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,2.891,space,49,8.9562,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,3.3773,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,0.250645616,-0.534652778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.233875868,-0.484505208,1,0,0,LeftButton,"[""LeftButton""]",,,,1.984375,11.1049,space,2.4555,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,0.223312717,-0.503480903,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,75.56982586,6.1002,space,34.09880051,8.2543,0,13,13,13,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,2.0266,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283550347,-0.534227431,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,72,6.5834,space,43,10.0623,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,0.9826,,,,,,
