chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.343055556,-0.53902439,1,0,0,RightButton,"[""RightButton""]",,,,,,,59,6.116,space,29,10.116,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.745,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.266666667,-0.485365854,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,34.14702581,9.449,space,79.74186308,11.347,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,1.09,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.248611111,-0.480487805,1,0,0,RightButton,"[""RightButton""]",60,3.136,space,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,0.734,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.309722222,-0.504878049,1,0,0,RightButton,"[""RightButton""]",,,,0.208333333,11.251,space,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,,2.137,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.316666667,-0.519512195,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,29.51739618,3.361,space,83.38945006,4.728,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,0.467,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.354166667,-0.534146341,1,0,0,RightButton,"[""RightButton""]",,,,0.291666667,9.166,space,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,,0.759,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284722222,-0.514634146,1,0,0,RightButton,"[""RightButton""]",,,,0.541666667,5.329,space,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,,0.637,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.295833333,-0.52195122,1,0,0,RightButton,"[""RightButton""]",,,,,,,52,2.715,space,31,4.649,,,,,,0,12,12,12,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,0.568,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.277777778,-0.485365854,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.247222222,-0.487804878,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,34,2.05,space,32,3.816,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,0.344,,,,,,,,,
