chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,incompleteTrials,key_share.rt,key_forgiveness.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.297218155,-0.544270833,1,0,0,LeftButton,"[""LeftButton""]",30,3.0183,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,1.4921,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.29136164,-0.4921875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.273792094,-0.526041667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,19,3.2392,space,2.172,59,5.7897,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.279648609,-0.497395833,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989019034,15.7006,space,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,2.0269,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,0.257686676,-0.5234375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.26054099,6.215,space,30.77406569,9.724,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,,0.8639,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,0.295754026,-0.4609375,1,0,0,RightButton,"[""RightButton""]",99,2.9396,space,,,,,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,2.542,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.327964861,-0.513020833,1,0,0,LeftButton,"[""LeftButton""]",,,,4.945095168,4.2312,space,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,0.8538,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.310395315,-0.502604167,1,0,0,LeftButton,"[""LeftButton""]",,,,4.93045388,3.6993,space,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,1.0465,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.332357247,-0.4921875,1,0,0,LeftButton,"[""LeftButton""]",100,2.1823,space,,,,,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,1.161,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Greater,Smaller,,,0.325036603,-0.4921875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,,,,,,,
