chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.298305085,-0.472650771,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.457627119,3.098,space,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.184,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.33559322,-0.523141655,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,51.19842493,2.73,space,41.09741483,5.811,0,6,6,6,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,1.004,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257627119,-0.50911641,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,41.78222907,4.862,space,69.3460024,7.989,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,1.066,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.33559322,-0.565217391,0,0,0,,[],,,,,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,,125,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.259322034,-0.503506311,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,4.781,space,30,8.452,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,0.821,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.250847458,-0.542776999,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,31.51001541,4.182,space,30.14038692,6.78,0,10,10,10,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,0.799,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3,-0.50631136,1,0,0,RightButton,"[""RightButton""]",30,5.906,space,0.537,,,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.261016949,-0.47545582,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50.85601781,2.395,space,38.87176853,5.544,0,12,12,12,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,1.22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.261016949,-0.517531557,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,89,3.405,space,60,7.197,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,0.702,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.330508475,-0.531556802,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.406779661,2.703,space,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,1.138,,,,,,,,
