chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,incompleteTrials,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,0.118671573,-0.514070575,0,0,0,,[],,,,,,,,,,,,,,,,,,0,4,4,4,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,199,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.225808398,-0.513293362,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,61.57143345,4.1703,space,1.9003,38.65830116,7.0368,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.306412886,-0.506136951,1,0,0,RightButton,"[""RightButton""]",40,1.4543,space,,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,1.0182,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,0.098727075,-0.263384205,0,0,0,,[],,,,,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,170,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.284519788,-0.510184512,1,0,0,LeftButton,"[""LeftButton""]",,,,0.459580116,10.5077,space,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,,4.4155,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,0.28754223,-0.538295381,1,0,0,RightButton,"[""RightButton""]",,,,0,7.3377,space,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,3.002,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.349638031,-0.527939276,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,2,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.253040541,-0.514595446,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.293333736,-0.509599079,1,0,0,LeftButton,"[""LeftButton""]",,,,0.011944981,2.2616,space,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,0.7441,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.300729971,-0.530654474,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,3,RandomDot11.png,No answer,20,,,,,,,,,
