chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269791698,-0.477777778,1,0,0,RightButton,"[""RightButton""]",79,3.4852,space,0.795,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.309375,-0.520370483,1,0,0,LeftButton,"[""LeftButton""]",79,3.5186,space,1.2388,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.23125,-0.538888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,81,4.1054,space,74,7.279,,,,,,0,7,7,7,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,0.6075,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.263541698,-0.477777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,64.73064615,5.2198,space,50.42087863,8.2374,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,1.0379,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.292708397,-0.466666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.67592914,5.5034,space,38.11027257,7.7892,0,9,9,9,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,0.3439,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.292708302,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.240625,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,79.98737374,4.6624,space,41.89815136,10.2423,0,11,11,11,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,2.6297,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.323958302,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,48.31650474,5.9874,space,59.6801411,9.7626,0,12,12,12,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,0.6241,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280208397,-0.490740797,1,0,0,RightButton,"[""RightButton""]",61,3.1652,space,0.7802,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.286458397,-0.542592706,1,0,0,RightButton,"[""RightButton""]",,,,,,,,61,3.998,space,49,7.2653,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,0.9808,,,,,,,
