chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,incompleteTrials,key_guilt.rt,key_forgiveness.rt,key_apology.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.334375,-0.968518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,6,6,45,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.334375,-0.968518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,7,7,2,1,0,both_right.png,0,RandomDot20.png,No answer,19,31,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.334375,-0.968518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,8,8,1,1,0,both_right.png,0,RandomDot27.png,No answer,19,32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.3125,-0.494444444,1,0,0,LeftButton,"[""LeftButton""]",53,4.2236,space,,,,,,,,,,,,,,0,9,9,38,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,2.0529,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.35,-0.516666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,93.03451178,10.4012,space,9.175084175,13.7954,0,10,10,33,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,9.4746,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295833333,-0.475925926,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,7.8303,space,8,11.4434,,,,,,0,11,11,32,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,,1.4525,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.295833333,-0.537037037,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,12,12,3,1,0,both_right.png,1,RandomDot35.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.247916667,-0.544444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,6,1.4636,space,8,3.8864,,,,,,0,13,13,18,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,,1.8224,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295833333,-0.538888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,14,14,5,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.307291667,-0.507407407,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,9.911616162,4.3104,space,84.72222222,6.3798,0,15,15,46,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,1.7886,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291666667,-0.514814815,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,16,16,7,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.240625,-0.935185185,0,0,0,,[],,,,,,,,,,,,,,,,,0,17,17,10,1,0,both_right.png,3,RandomDot36.png,No answer,20,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.320833333,-0.538888889,1,0,0,RightButton,"[""RightButton""]",21,4.3863,space,,,,,,,,,,,,,,0,18,18,26,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,1.3728,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.357291667,-0.494444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,87.45791246,2.8592,space,23.37962963,1.7598,0,19,19,21,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,3.8454,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.365625,-0.47037037,1,0,0,LeftButton,"[""LeftButton""]",46,2.3329,space,,,,,,,,,,,,,,0,20,20,37,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,6.9572,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313541667,-0.501851852,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,19.38131313,5.103,space,82.30218855,5.722,0,21,21,34,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,1.8774,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3,-0.514814815,1,0,0,RightButton,"[""RightButton""]",,,,1.4375,5.5095,space,,,,,,,,,,,0,22,22,29,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,,,1.525,,,,,
