chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.292708302,-0.512963019,1,0,0,LeftButton,"[""LeftButton""]",31,7.4664,space,2.6907,,,,,,,,,,,,,,0,4,4,13,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.300520897,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,,2.502604485,7.2679,space,,,,,,,,,,,0,5,5,23,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,4.3735,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.325520802,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,69.72853535,1.2357,space,18.90782828,2.0859,0,6,6,25,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,2.2999,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302604151,-0.519444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.35984848,1.9326,space,12.22643419,3.2617,0,7,7,35,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,1.3844,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.261458397,-0.503703817,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,6.2836,space,0,17.2496,,,,,,0,8,8,10,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,1.4915,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.26875,-0.524074131,1,0,0,RightButton,"[""RightButton""]",8,8.6698,space,2.0965,,,,,,,,,,,,,,0,9,9,47,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2546875,-0.495370483,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,10,10,3,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2671875,-0.521296353,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,49,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.300520802,-0.525,1,0,0,LeftButton,"[""LeftButton""]",0,3.8836,space,1.7321,,,,,,,,,,,,,,0,12,12,37,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.361458302,-0.487963019,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,90.61448454,5.0242,space,10.59554033,8.5649,0,13,13,8,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,2.6505,,,,,,,,
