chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.306002928,-0.520833333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.248901903,-0.489583333,1,0,0,RightButton,"[""RightButton""]",,,,1.994875549,7.4206,space,1.0608,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.262079063,-0.502604167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,11,3.7562,space,9,7.4266,,,,,,0,7,7,7,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,0.5691,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.282576867,-0.502604167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,9,2.4832,space,11,3.3254,,,,,,0,8,8,8,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.5668,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.323572474,-0.526041667,1,0,0,RightButton,"[""RightButton""]",0,3.3325,space,,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,0.2848,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.294289898,-0.494791667,1,0,0,RightButton,"[""RightButton""]",,,,2.163250366,4.015,space,0.7922,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.339677892,-0.53125,1,0,0,LeftButton,"[""LeftButton""]",,,,2.243777452,1.5773,space,0.515,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25329429,-0.526041667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,85.78981617,3.6069,space,11.99180679,8.3945,0,12,12,12,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,0.4488,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.344070278,-0.486979167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,10,2.0231,space,11,2.9342,,,,,,0,13,13,13,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,0.4679,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.364568082,-0.533854167,1,0,0,LeftButton,"[""LeftButton""]",,,,2.207174231,10.765,space,0.6127,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.284040996,-0.5234375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,91.11392106,3.6096,space,6.224026502,4.7844,0,15,15,15,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,0.4664,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.332357247,-0.466145833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,85.34614076,3.8776,space,9.181862549,5.1478,0,16,16,16,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,2.0693,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285505124,-0.481770833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,7,3.9506,space,5,5.3207,,,,,,0,17,17,17,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.7232,,,,,,,,
