chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265306122,-0.543478261,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.44458187,2.995,space,40.10513296,7.278,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,2.918,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.321088435,-0.508695652,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,0.228571429,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,50,12.605,space,80,7.591,,,,,,0,7,7,7,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,6.743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.282993197,-0.463043478,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.33944891,3.884,space,54.26028997,8.211,0,8,8,8,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,0.522,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25170068,-0.489130435,1,0,0,RightButton,"[""RightButton""]",,,,3.003401361,5.722,space,2.417,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Smaller,Greater,,0.319727891,-0.513043478,1,0,0,RightButton,"[""RightButton""]",,,,,,,,63,5.181,space,92,9.348,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,0.834
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.208163265,-0.530434783,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,69.10259053,5.176,space,40.37999038,8.016,0,11,11,11,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,2.472,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Smaller,Greater,,0.259863946,-0.52173913,1,0,0,RightButton,"[""RightButton""]",,,,,,,,31,3.534,space,89,5.633,,,,,,0,12,12,12,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,0.901
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,0.229931973,-0.491304348,1,0,0,RightButton,"[""RightButton""]",,,,,,,,19,2.334,space,91,3.56,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,0.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.281632653,-0.52173913,1,0,0,LeftButton,"[""LeftButton""]",,,,4.914965986,3.135,space,1.068,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.273469388,-0.545652174,1,0,0,LeftButton,"[""LeftButton""]",,,,4.942176871,3.587,space,0.901,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,0.236734694,-0.517391304,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,70.2020202,5.861,space,50.68714354,8.495,0,16,16,16,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,0.868,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.314285714,-0.536956522,1,0,0,LeftButton,"[""LeftButton""]",,,,4.996598639,5.501,space,2.326,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.23537415,-0.506521739,1,0,0,LeftButton,"[""LeftButton""]",70,2.904,space,,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,1.817,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.240816327,-0.510869565,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,60.99429671,3.934,space,49.72514258,2.444,0,19,19,19,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,1.451,
