chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.222134045,-0.523058973,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,72,2.0709,space,0.5174,61,4.713,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25050824,-0.514666094,1,0,0,LeftButton,"[""LeftButton""]",30,1.6314,space,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,0.4376,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.268039363,-0.498391397,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,30,1.8383,space,0.7507,29,3.4049,,,,,,0,8,8,8,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Smaller,Greater,,0.279326848,-0.497720555,1,0,0,RightButton,"[""RightButton""]",,,,0.006325926,4.6741,space,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,0.7918,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Smaller,Greater,,0.31801251,-0.461981637,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.11167002,2.1274,space,60.12181479,3.9938,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,0.4397
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Greater,Smaller,,0.243640491,-0.511107527,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244153431,-0.511107527,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,88.73537457,2.1284,space,12.48599599,4.1116,0,12,12,12,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,0.6004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289122377,-0.456984602,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,65,2.0365,space,0.8178,47,4.153,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Smaller,Greater,,0.351471765,-0.48731951,1,0,0,RightButton,"[""RightButton""]",,,,0.000485693,3.3216,space,,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,1.3665,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.278937272,-0.539201355,1,0,0,LeftButton,"[""LeftButton""]",62,1.7992,space,,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,0.3505,,
