chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.261697491,-0.509765625,1,0,0,LeftButton,"[""LeftButton""]",,,,1.984561012,6.3894,space,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,1.9971,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.241018282,-0.521730639,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.272608418,-0.497630774,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,29.32771593,3.4186,space,29.85112606,5.533,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,0.5137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.290975765,-0.536285666,1,0,0,LeftButton,"[""LeftButton""]",40,4.3209,space,,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,3.3517,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.249569515,-0.516338315,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.328098427,-0.487678329,1,0,0,RightButton,"[""RightButton""]",,,,3.044270833,3.6207,space,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,0.9523,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.252620111,-0.522248641,1,0,0,LeftButton,"[""LeftButton""]",10,2.1383,space,,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,0.6731,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255234906,-0.483704144,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,10.11453824,2.6804,space,10.50427747,4.0641,0,10,10,10,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,1.1018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.260023384,-0.518902853,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291687925,-0.510988451,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,10.34752285,3.9796,space,20.08563526,5.0656,0,12,12,12,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,0.5741
