chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,0.265277778,-0.522222222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.11896745,6.861,space,80.02244669,9.597,0,5,5,5,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,0.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,0.265277778,-0.524444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.248611111,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,48.73737374,4.177,space,68.93939394,7.983,0,7,7,7,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,0.897,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.270833333,-0.517777778,1,0,0,LeftButton,"[""LeftButton""]",,,,1.965277778,8.63,space,2.658,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,0.309722222,-0.515555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,49,4.951,space,50,12.299,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,0.651,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.316666667,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,55,3.801,space,64,6.319,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,2.327,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.306944444,-0.528888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,44.38832772,4.766,space,74.69135802,8.215,0,11,11,11,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,0.567,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.327777778,-0.471111111,1,0,0,LeftButton,"[""LeftButton""]",86,3.035,space,,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,1.054,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.288888889,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,45,6.645,space,75,11.581,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,3.371,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.294444444,-0.457777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,74.1301908,11.641,space,64.59034792,14.445,0,14,14,14,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,0.354,,,,,,,,
