chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,clicked_guilt,incompleteTrials,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,judge.clicked_name,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.242850167,-0.481965438,1,0,0,"[""LeftButton""]",,58,1.7396,space,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,LeftButton,,,0.9989,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295724051,-0.481583305,1,0,0,"[""RightButton""]",,57,2.8871,space,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,RightButton,,,1.8562,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.260323661,-0.504288383,1,0,0,"[""RightButton""]",,,,,,,,64,2.2395,space,33,6.7794,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,RightButton,1.785,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.288539342,-0.518682065,1,0,0,"[""RightButton""]",,,,,,,,,,,,,38.44823796,4.5649,space,68.48845599,2.7262,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,RightButton,,0.8846,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.245233445,-0.543510105,1,0,0,"[""RightButton""]",,,,,4.026402065,2.0559,space,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,RightButton,,,,0.9535,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.233816964,-0.504553753,1,0,0,"[""LeftButton""]",,,,,3.053385417,1.6014,space,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,LeftButton,,,,0.8722,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.402029855,-0.524180537,1,0,0,"[""LeftButton""]",,,,,,,,64,4.6027,space,45,6.9764,,,,,,0,12,12,12,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,LeftButton,2.3047,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.052746001,-0.63365107,0,0,0,[],11,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.251534598,-0.514160156,1,0,0,"[""RightButton""]",,,,,5,3.3093,space,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,RightButton,,,,1.4656,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.317278181,-0.526123047,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,LeftButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.389776321,-0.498662534,1,0,0,"[""LeftButton""]",,,,,,,,71,2.5068,space,30,3.981,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,LeftButton,0.6525,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.3492141,-0.511495839,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,50.96411473,1.9892,space,50.6881501,3.7758,0,17,17,17,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,LeftButton,,0.8173,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272774833,-0.500424592,1,0,0,"[""RightButton""]",,76,6.9389,space,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,RightButton,,,0.9192,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.241269066,-0.524265455,1,0,0,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,3,RandomDot36.png,No answer,20,RightButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.234002976,-0.512514861,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,18.67860149,3.5054,space,72.27093292,4.9296,0,20,20,20,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,LeftButton,,0.8353,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268182664,-0.511708135,1,0,0,"[""RightButton""]",,81,1.6952,space,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,RightButton,,,0.6232,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.342308408,-0.497707201,1,0,0,"[""LeftButton""]",,,,,3.995593843,2.2088,space,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,LeftButton,,,,0.7346,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.224586124,-0.491975204,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,28.33384064,7.3391,space,74.59138445,5.8994,0,23,23,23,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,LeftButton,,3.0361,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.234572638,-0.526261039,1,0,0,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,1,RandomDot21.png,No answer,20,RightButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.288957868,-0.517885954,1,0,0,"[""LeftButton""]",,91,1.6216,space,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,LeftButton,,,0.8229,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.246454148,-0.499851393,1,0,0,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,2,RandomDot25.png,No answer,19,RightButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.213262649,-0.493418818,1,0,0,"[""RightButton""]",,,,,,,,68,2.8981,space,78,5.2196,,,,,,0,27,27,27,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,RightButton,0.5889,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.305687314,-0.516951851,1,0,0,"[""LeftButton""]",,,,,4.980352493,1.4943,space,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,LeftButton,,,,0.7515,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301850818,-0.504118546,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,LeftButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.22530692,-0.48298446,1,0,0,"[""RightButton""]",,,,,4.997384208,5.9742,space,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,RightButton,,,,0.9174,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.21765718,-0.487686821,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,38.72067964,6.6036,space,77.96989613,3.5914,0,31,31,31,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,LeftButton,,1.8909,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.193615141,-0.502876613,1,0,0,"[""RightButton""]",,,,,3.986060733,2.4818,space,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,RightButton,,,,0.7669,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.204822359,-0.491104789,1,0,0,"[""RightButton""]",,,,,,,,,,,,,28.77538405,6.4518,space,79.30744386,4.2609,0,33,33,33,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,RightButton,,0.7814,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.226702009,-0.478823454,1,0,0,"[""LeftButton""]",,,,,2.908935547,1.1846,space,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,LeftButton,,,,0.9621,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.211716425,-0.520497198,1,0,0,"[""RightButton""]",,,,,,,,60,5.5843,space,66,3.2389,,,,,,0,35,35,35,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,RightButton,0.7177,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.369849795,-0.543605639,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,46.36548709,4.0812,space,70.21352851,1.6984,0,36,36,36,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,LeftButton,,0.7228,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.260149275,-0.540155825,1,0,0,"[""RightButton""]",,61,1.6288,space,,,,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,RightButton,,,0.6818,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.238676525,-0.536334494,1,0,0,"[""LeftButton""]",,66,1.7069,space,,,,,,,,,,,,,,0,38,38,38,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,LeftButton,,,0.9066,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.331705729,-0.528214164,1,0,0,"[""RightButton""]",,,,,,,,76,2.2682,space,59,5.4282,,,,,,0,39,39,39,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,RightButton,0.5023,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.243047805,-0.516707711,1,0,0,"[""LeftButton""]",,89,1.3754,space,,,,,,,,,,,,,,0,40,40,40,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,LeftButton,,,0.5347,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.208065941,-0.49664572,1,0,0,"[""RightButton""]",,,,,4.011056083,8.1287,space,,,,,,,,,,,0,41,41,41,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,RightButton,,,,1.1006,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.178943452,-0.515656844,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,48.06824758,3.2154,space,96.43956304,4.8247,,,,,,1,both_wrong.png,3,RandomDot7.png,No answer,21,LeftButton,,1.3544,,,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.389625186,-0.53683339,1,0,0,"[""RightButton""]",,,,,,,,,,,,,,,,,,,,,,,0,both_right.png,0,RandomDot38.png,No answer,21,RightButton,,,,,0,1,1,1,1
