chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.284369575,-0.521536458,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,30.97401971,2.2462,space,78.78174102,4.2798,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,1.0373,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.314301215,-0.489965278,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,68,2.4201,space,50,5.48,,,,,,0,7,7,7,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,1.3255,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295317925,-0.51296875,1,0,0,RightButton,"[""RightButton""]",,,,0.986816406,17.4698,space,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,,6.3881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268663194,-0.543784722,1,0,0,RightButton,"[""RightButton""]",89,4.5375,space,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,1.6339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.234912109,-0.501059028,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,75,5.1468,space,69,7.3156,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,1.1195,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.276638455,-0.471024306,1,0,0,LeftButton,"[""LeftButton""]",,,,0.114067925,6.6178,space,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,,0.7328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.233582899,-0.485147569,1,0,0,LeftButton,"[""LeftButton""]",3,3.3511,space,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,2.364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.191259766,-0.484322917,1,0,0,LeftButton,"[""LeftButton""]",69,2.6044,space,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,0.551,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.352007378,-0.495373264,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,14,14,14,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.29672309,-0.483767361,1,0,0,LeftButton,"[""LeftButton""]",99,1.9522,space,,,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,0.8788,
