chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.245008681,-0.531987847,1,0,0,RightButton,"[""RightButton""]",,,,,4.998291016,10.6795,space,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,1.7853
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.212679036,-0.542491319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.277669271,-0.522456597,1,0,0,RightButton,"[""RightButton""]",,,,,4.990749783,3.7496,space,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,1.2394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.332259115,-0.53,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.959391276,4.1479,space,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.309065755,-0.5053125,1,0,0,RightButton,"[""RightButton""]",1,2.4224,space,4.8028,,,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.293733724,-0.522630208,1,0,0,RightButton,"[""RightButton""]",,,,,4.009684245,4.6948,space,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,0.6514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.298996311,-0.483454861,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,3.9149,space,0,8.1208,0,12,12,12,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,2.9364,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.313509115,-0.504704861,1,0,0,LeftButton,"[""LeftButton""]",0,4.3138,space,0.8607,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.298377821,-0.543107639,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,3.3153,space,0,5.9629,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,1.6063,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.296820747,-0.528767361,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,10,6.3915,space,0,10.8598,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,0.8708,
