chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.28641866,-0.545242281,1,0,0,LeftButton,"[""LeftButton""]",,,,2.007819766,6.7768,space,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,1.5848,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.299517096,-0.504705171,1,0,0,RightButton,"[""RightButton""]",20,2.4767,space,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,0.9363,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.289601208,-0.541395089,1,0,0,RightButton,"[""RightButton""]",,,,,,,30,2.9652,space,59,6.1825,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.8988,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.293176197,-0.538666062,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.38464835,-0.489306873,1,0,0,LeftButton,"[""LeftButton""]",,,,2.000381106,7.9101,space,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,0.7169,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.27219093,-0.508851376,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,74.79471754,4.5744,space,23.93569836,7.7314,0,7,7,7,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,,0.5733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.313015166,-0.523804757,1,0,0,RightButton,"[""RightButton""]",,,,,,,37,3.7407,space,50,6.3412,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,1.0364,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.342555164,-0.480019648,1,0,0,LeftButton,"[""LeftButton""]",,,,1.995417277,2.6779,space,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,0.4413,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,0.360267566,-0.50023856,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,45.15863357,3.072,space,35.97393614,5.1053,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,,0.3834
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.255815778,-0.518425525,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,64.2144244,4.3168,space,34.98255522,6.2065,0,11,11,11,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,,0.2785
