key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid
space,22.8422,space,30.0821,3.017189629,9.6266,space,7.099,0,0,0,31,1,32,image/32.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.925121339,7.4122,space,4.6416,0,1,1,11,1,12,image/12.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.144009707,2.188,space,0.7228,0,2,2,12,1,13,image/13.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,1.214322207,1.9428,space,0.6164,0,3,3,46,1,47,image/47.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.680964748,2.8206,space,1.4849,0,4,4,29,1,30,image/30.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.588374915,3.2031,space,0.7381,0,5,5,2,1,3,image/3.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.647224114,3.5547,space,1.8003,0,6,6,18,1,19,image/19.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.194461001,6.5214,space,1.6069,0,7,7,0,1,1,image/1.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.30140923,4.9209,space,0.089,0,8,8,23,1,24,image/24.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.463098178,8.0124,space,2.6133,0,9,9,13,1,14,image/14.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.950591792,3.6273,space,1.5525,0,10,10,6,1,7,image/7.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.575378917,2.6603,space,1.1989,0,11,11,7,1,8,image/8.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.734768818,2.3212,space,0.5592,0,12,12,19,1,20,image/20.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.963098178,1.5926,space,0.577,0,13,13,52,1,55,image/55.jpg,1,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.364931029,3.0554,space,0.754,0,14,14,32,1,33,image/33.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,5.471932476,5.1202,space,1.1525,0,15,15,3,1,4,image/4.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.17578125,3.8041,space,0.7417,0,16,16,24,1,25,image/25.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,5.213896458,12.6942,space,0.5733,0,17,17,1,1,2,image/2.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.291872446,1.7479,space,0.5993,0,18,18,36,1,37,image/37.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.154451209,4.489,space,0.6262,0,19,19,38,1,39,image/39.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.766125255,1.7388,space,0.5159,0,20,20,26,1,27,image/27.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.812180688,2.6782,space,0.4494,0,21,21,4,1,5,image/5.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,1.791382834,5.8879,space,0.5329,0,22,22,41,1,42,image/42.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,1.388506897,2.0357,space,0.534,0,23,23,9,1,10,image/10.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
