key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid
,,,,4.308870487,1.5791,space,0.4432,0,24,24,20,1,21,image/21.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.844505705,7.8018,space,0.5542,0,25,25,33,1,34,image/34.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.600987738,1.3362,space,0.5488,0,26,26,48,1,49,image/49.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.182465514,0.9943,space,0.8761,0,27,27,40,1,41,image/41.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.255524097,1.3032,space,0.4347,0,28,28,47,1,48,image/48.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.29510814,1.2562,space,0.4425,0,29,29,35,1,36,image/36.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.29510814,1.0042,space,0.3838,0,30,30,16,1,17,image/17.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.450687585,1.06,space,0.2265,0,31,31,10,1,11,image/11.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.492975136,1.3626,space,0.2001,0,32,32,44,1,45,image/45.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.490612228,1.7269,space,0.2854,0,33,33,39,1,40,image/40.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.490612228,1.1135,space,0.3678,0,34,34,22,1,23,image/23.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.466685116,1.2719,space,0.3091,0,35,35,28,1,29,image/29.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.353371935,1.7711,space,0.8845,0,36,36,45,1,46,image/46.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.646457766,1.2073,space,0.2866,0,37,37,25,1,26,image/26.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.479329871,1.0609,space,0.201,0,38,38,42,1,43,image/43.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.605883856,2.3566,space,0.4764,0,39,39,49,1,50,image/50.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.977807817,1.7211,space,0.2534,0,40,40,15,1,16,image/16.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.977807817,0.5693,space,0.6548,0,41,41,37,1,38,image/38.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.984864612,1.0983,space,0.2417,0,42,42,21,1,22,image/22.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,3.984864612,1.0891,space,0.2003,0,43,43,14,1,15,image/15.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.110705467,1.1359,space,0.2605,0,44,44,50,1,53,image/53.jpg,1,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.110705467,0.5406,space,0.5101,0,45,45,27,1,28,image/28.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.110705467,0.7605,space,0.3748,0,46,46,30,1,31,image/31.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.110705467,1.072,space,0.174,0,47,47,17,1,18,image/18.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.988015157,7.4512,space,6.3513,0,48,48,51,1,56,image/56.jpg,1,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,4.582967899,5.0707,space,0.6735,0,49,49,34,1,35,image/35.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.011612313,1.2727,space,0.6438,0,50,50,43,1,44,image/44.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.166638283,1.1569,space,0.3086,0,51,51,5,1,6,image/6.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
,,,,2.656750255,1.0625,space,0.2031,0,52,52,8,1,9,image/9.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_11h56.08.601,face trait task,2021.2.3,MacIntel,58.47953216,SONAid
