key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
,,,,3.953333333,3.654,space,2.054,0,27,27,5,1,6,image/6.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,3.953333333,1.586,space,0.817,0,28,28,4,1,5,image/5.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,3.966666667,2.687,space,0.852,0,29,29,25,1,26,image/26.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,4.96,3.639,space,1.669,0,30,30,2,1,3,image/3.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,6.12,1.59,space,0.763,0,31,31,41,1,42,image/42.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,6.366666667,1.588,space,0.789,0,32,32,52,1,59,image/59.jpg,1,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,3.946666667,2.753,space,0.306,0,33,33,14,1,15,image/15.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,5,2.156,space,0.508,0,34,34,42,1,43,image/43.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,4.006666667,2.005,space,0.606,0,35,35,26,1,27,image/27.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
,,,,3,2.022,space,0.757,0,36,36,35,1,36,image/36.jpg,0,R_3z8wN509TuVnNc6,2,2024-04-10_19h19.08.990,face trait task,2021.2.3,MacIntel,58.82352941,SONAid,,,,,,,
