chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,incompleteTrials
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.26526892,-0.493181046,1,0,0,RightButton,"[""RightButton""]",,,,,,,,29,1.4201,space,41,2.2573,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,0.6673,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.296178784,-0.476290761,1,0,0,LeftButton,"[""LeftButton""]",31,1.7309,space,,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,1.1144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.260496386,-0.507150136,1,0,0,RightButton,"[""RightButton""]",,,,,,,,32,2.188,space,46,3.1565,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,0.5689,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.264041241,-0.53134341,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.261107568,-0.488068954,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,38,2.3394,space,44,3.2103,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,0.7041,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.277083333,-0.536107337,1,0,0,RightButton,"[""RightButton""]",,,,2.307079082,1.3124,space,0.9182,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.266480655,-0.546297554,1,0,0,RightButton,"[""RightButton""]",46,1.47,space,,,,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,0.5849,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.343638393,-0.48092731,1,0,0,LeftButton,"[""LeftButton""]",57,2.4534,space,,,,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,,0.6535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.240008503,-0.484332541,1,0,0,RightButton,"[""RightButton""]",,,,2.215454932,1.4106,space,1.0363,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.39786352,-0.522758152,1,0,0,RightButton,"[""RightButton""]",53,3.0961,space,,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,0.7523,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.340710034,-0.501307745,1,0,0,LeftButton,"[""LeftButton""]",65,1.3462,space,,,,,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,0.8159,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.336410502,-0.514478601,1,0,0,LeftButton,"[""LeftButton""]",,,,2.67756165,2.0504,space,0.9731,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.060804634,-0.450271739,0,0,0,,[],,,,,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,,,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,-0.243877551,-0.511285666,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,43,2.3751,space,51,1.7319,,,,,,0,17,17,17,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,0.752,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.367835884,-0.476460598,1,0,0,RightButton,"[""RightButton""]",,,,3.199803359,1.0902,space,1.0336,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.308992347,-0.493597147,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,68.57756992,27.2747,space,48.61873411,28.1003,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,0.4033,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.2924054,-0.545575747,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,32.55997475,2.0211,space,41.83158112,2.8595,0,20,20,20,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,0.4649,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.224867134,-0.512737772,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.281574192,-0.505281929,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,61,8.2856,space,36,7.2984,,,,,,0,22,22,22,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,0.4547,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,-0.288860544,-0.530918818,1,0,0,LeftButton,"[""LeftButton""]",,,,3.411219175,0.7737,space,1.4052,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,,
