chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283284505,-0.500314023,1,0,0,LeftButton,"[""LeftButton""]",,,,4.986138238,6.4972,space,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,0.9979,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,0.293809679,-0.50415842,1,0,0,RightButton,"[""RightButton""]",,,,4.974093967,7.6021,space,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,0.814,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.28937717,-0.529432476,1,0,0,RightButton,"[""RightButton""]",30,3.4083,space,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,1.8916,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,0.230962457,-0.501731882,1,0,0,RightButton,"[""RightButton""]",,,,,,,11,4.2946,space,3,8.8484,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,,0.7908
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,0.267013889,-0.491949604,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,29.9305994,5.3007,space,15.14351413,8.7855,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,1.8969,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.245046658,-0.498087317,1,0,0,RightButton,"[""RightButton""]",,,,,,,9,3.663,space,4,7.0124,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,,0.768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.23234592,-0.509173264,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,8,2.7977,space,2,5.5399,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,,1.4015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.260839844,-0.51916489,1,0,0,LeftButton,"[""LeftButton""]",6,2.9811,space,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,0.7074,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.277897135,-0.49390035,1,0,0,LeftButton,"[""LeftButton""]",13,2.9599,space,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,2.0132,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.277804905,-0.545323919,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,7,3.4434,space,2,5.5036,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,,0.7589
